俳句,作者,季語,季節,出典,前書,評言,評者,備考
朝霧の中に九段のともし哉,正岡子規,霧,秋,寒山落木,,,,
あたたかな雨が降るなり枯葎,正岡子規,枯葎,冬,寒山落木,,,,
菜の花やはつと明るき町はづれ,正岡子規,菜の花,春,寒山落木,,,,
秋風や伊予へ流るる汐の音,正岡子規,秋風,秋,寒山落木,,,,
長閑さや障子の穴に海見えて,正岡子規,長閑,春,寒山落木,,,,
若鮎の二手になりて上りけり,正岡子規,若鮎,春,寒山落木,,,,
行く秋をすつくと鹿の立ちにけり,正岡子規,行く秋,秋,寒山落木,,,,
我声の風になりけり茸狩,正岡子規,茸狩,秋,寒山落木,,,,
毎年よ彼岸の入りに寒いのは,正岡子規,彼岸,春,寒山落木,,,,
我宿は女ばかりのあつさ哉,正岡子規,暑し,夏,寒山落木,,,,
妻よりは妾の多し門涼み,正岡子規,門涼み,夏,寒山落木,,,,
みちのくへ涼みに行くや下駄はいて,正岡子規,涼む,夏,寒山落木,,,,
夕立や殺生石のあたりより,正岡子規,夕立,夏,寒山落木,,,,
稲妻や生血したたるつるし熊,正岡子規,稲妻,秋,寒山落木,,,,
薪をわるいもうと一人冬籠,正岡子規,冬籠,冬,寒山落木,,,,
絶えず人いこふ夏野の石一つ,正岡子規,夏野,夏,寒山落木,,,,
赤蜻蛉筑波に雲もなかりけり,正岡子規,赤蜻蛉,秋,寒山落木,,,,
何となく奈良なつかしや古暦,正岡子規,古暦,冬,寒山落木,,,,
春や昔十五万石の城下哉,正岡子規,春,春,寒山落木,松山,,,松山
六月を奇麗な風の吹くことよ,正岡子規,六月,夏,寒山落木,,,,
夏瘦の骨にとどまる命かな,正岡子規,夏瘦,夏,寒山落木,,,,
行く我にとどまる汝に秋二つ,正岡子規,秋,秋,寒山落木,,,,
