朝霧の中に九段のともし哉,霧
あたたかな雨が降るなり枯葎,枯葎
菜の花やはつと明るき町はづれ,菜の花
秋風や伊予へ流るる汐の音,秋風
長閑さや障子の穴に海見えて,長閑
若鮎の二手になりて上りけり,若鮎
行く秋をすつくと鹿の立ちにけり,行く秋
我声の風になりけり茸狩,茸狩
毎年よ彼岸の入りに寒いのは,彼岸
我宿は女ばかりのあつさ哉,暑し
妻よりは妾の多し門涼み,門涼み
みちのくへ涼みに行くや下駄はいて,涼む
夕立や殺生石のあたりより,夕立
稲妻や生血したたるつるし熊,稲妻
薪をわるいもうと一人冬籠,冬籠
絶えず人いこふ夏野の石一つ,夏野
赤蜻蛉筑波に雲もなかりけり,赤蜻蛉
何となく奈良なつかしや古暦,古暦
春や昔十五万石の城下哉,春
六月を奇麗な風の吹くことよ,六月
夏瘦の骨にとどまる命かな,夏瘦
行く我にとどまる汝に秋二つ,秋
柿くへば鐘が鳴るなり法隆寺,柿
漱石が来て虚子が来て大三十日（おほみそか）,大晦日
枯薄ここらよ昔不破の関,枯薄
元日の人通りとはなりにけり,元日
春風にこぼれて赤し歯磨粉,春風
春の夜や屏風の陰に物の息,春の夜
一桶の藍流しけり春の川,春の川
春雨のわれまぼろしに近き身ぞ,春雨
夏嵐机上の白紙飛び尽す,夏嵐
美服して牡丹に媚びる心あり,牡丹
しんとして牡丹崩るる夜中哉,牡丹
行く秋の鐘つき料を取りに来る,行く秋
蟷螂や二つ向きあふ石の上,蟷螂
梨むくや甘き雫の刃を垂るる,梨
しぐるるや蒟蒻冷えて臍の上,時雨
小夜時雨上野を虚子の来つつあらん,小夜時雨
雪降るよ障子の穴を見てあれば,雪
いくたびも雪の深さを尋ねけり,雪
四時に烏五時に雀夏の夜は明けぬ,夏の夜
つり鐘の蔕（へた）のところが渋かりき,柿
三千の俳句を閲（けみ）し柿二つ,柿
ある僧の月を待たずに帰りけり,月
この頃の蕣（あさがほ）藍に定まりぬ,朝顔
押分けて行けは行かるる萩の原,萩
鶏頭の黒きにそそぐ時雨かな,時雨
