朝霧 の 中 に 九段 の ともし 哉 ,霧
あたたか な 雨 が 降る なり 枯葎 ,枯葎
菜の花 や は つと 明るき 町 は づれ ,菜の花
秋風 や 伊予 へ 流る る 汐 の 音 ,秋風
長閑 さ や 障子 の 穴 に 海 見え て ,長閑
若鮎 の 二 手 に なりて 上り けり ,若鮎
行く 秋 を す つく と 鹿 の 立ち に けり ,行く秋
我 声 の 風 に なり けり 茸狩 ,茸狩
毎年 よ 彼岸の入り に 寒い の は ,彼岸
我宿 は 女 ばかり の あつ さ 哉 ,暑し
妻 より は 妾 の 多し 門 涼み ,門涼み
みちのく へ 涼み に 行く や 下駄 は い て ,涼む
夕立 や 殺生石 の あたり より ,夕立
稲妻 や 生血 したたる つるし 熊 ,稲妻
薪 を わる いもうと 一人 冬 籠 ,冬籠
絶えず 人 いこ ふ 夏野 の 石 一つ ,夏野
赤蜻蛉 筑波 に 雲 もなか り けり ,赤蜻蛉
何となく 奈良 なつかし や 古 暦 ,古暦
春 や 昔 十 五 万 石 の 城下 哉 ,春
六月 を 奇麗 な 風 の 吹く こと よ ,六月
夏 瘦 の 骨 に とどまる 命 か な ,夏瘦
行く 我 に とどまる 汝 に 秋 二つ ,秋
柿 く へ ば 鐘 が 鳴る なり 法隆寺 ,柿
漱石 が 来 て 虚子 が 来 て 大 三十日 （ お ほ みそ か ） ,大晦日
枯薄 ここら よ 昔 不破の関 ,枯薄
元日 の 人通り と は なり に けり ,元日
春風 に こぼれ て 赤 し 歯磨粉 ,春風
春 の 夜 や 屏風 の 陰 に 物 の 息 ,春の夜
一 桶 の 藍 流し けり 春の 川 ,春の川
春雨 の われ ま ぼろし に 近 き身 ぞ ,春雨
夏 嵐 机上 の 白紙 飛び 尽す ,夏嵐
美 服し て 牡丹 に 媚びる 心 あり ,牡丹
しん として 牡丹 崩 るる 夜 中哉 ,牡丹
行く 秋 の 鐘 つき 料 を 取り に 来る ,行く秋
蟷螂 や 二つ 向き あふ 石 の 上 ,蟷螂
梨 むく や 甘き 雫 の 刃 を 垂 るる ,梨
